pollutant,horizon_h,family,model,R2,RMSE,MAE,MAPE(%)
C6H6(GT),1,Tree,RandomForest,0.8125299463621132,2.760254882967742,1.8225783615316111,32.72560427074342
C6H6(GT),1,Linear/Kernel,Lasso,0.7501405303464955,3.1866263422775614,2.248034881942526,47.85833784507152
C6H6(GT),1,RNN,LSTM,0.5550202396606861,4.269149130354452,3.357182203881439,96.24331966866636
C6H6(GT),6,Tree,GBDT,0.4243903969474721,4.841519981132055,3.796392761780288,94.74300370822372
C6H6(GT),6,Linear/Kernel,Lasso,0.3461685736846103,5.160010776984226,4.024147802986315,104.30653940406044
C6H6(GT),6,RNN,LSTM,0.0119065360699062,6.365768321146748,5.453809451970891,185.1248594590909
C6H6(GT),12,Tree,RandomForest,0.3239141953214638,5.251224351109207,4.061828486204324,102.89028317993576
C6H6(GT),12,Linear/Kernel,ElasticNet,0.3662468663346744,5.084166028843402,3.873296562338968,102.81794380418393
C6H6(GT),12,RNN,GRU,-0.0502677647518485,6.566301729899319,5.625636541347608,183.6469087871673
C6H6(GT),24,Tree,ExtraTrees,0.2149651602112846,5.670425678309235,4.560518556005397,122.45638988750412
C6H6(GT),24,Linear/Kernel,ElasticNet,0.3655343119759358,5.097711662277961,3.8317839877189854,97.65009466324956
C6H6(GT),24,RNN,GRU,0.12873924815088,5.995336533617619,4.987055145523764,159.94689130964744
CO(GT),1,Tree,ExtraTrees,0.774824246077747,0.627031312262165,0.4517955253784506,41.45578416596572
CO(GT),1,Linear/Kernel,Lasso,0.740870427881761,0.6726465283809573,0.5080938787808346,45.2702579183501
CO(GT),1,RNN,LSTM,0.57787862294238,0.8611990491725493,0.6405546610493731,60.67463532075406
CO(GT),6,Tree,ExtraTrees,0.3200274315821454,1.09065580708341,0.828498661311914,81.37876229884971
CO(GT),6,Linear/Kernel,LinearRegression,0.2775284441717733,1.1242228195433543,0.8649268727441036,80.01824128779026
CO(GT),6,RNN,GRU_nn48,0.214652287841359,1.1795778588883414,0.8526105938854551,63.45408185515047
CO(GT),12,Tree,ExtraTrees,0.2700956473917253,1.1310009392112117,0.8882494407158832,86.5761003096697
CO(GT),12,Linear/Kernel,LinearRegression,0.3058310744633639,1.1029671378640025,0.8285065567439271,77.48027646728289
CO(GT),12,RNN,LSTM,0.3045382248056479,1.107239867773987,0.8625274588358984,87.73249715137436
CO(GT),24,Tree,GBDT,0.1634453230756273,1.2123612151222825,0.9440854211004472,94.92567571313594
CO(GT),24,Linear/Kernel,LinearRegression,0.3321292935197205,1.0832559076194317,0.8099634500834761,76.29272198193972
CO(GT),24,RNN,GRU_nn48,0.2647979245081692,1.1422165655702925,0.8082626859767034,61.99372093427223
NO2(GT),1,Tree,GBDT,0.7868054097643261,23.048228531925027,17.001674082210123,14.248783365115408
NO2(GT),1,Linear/Kernel,Lasso,0.7745523195112952,23.70130980188086,17.821535473854972,15.340750556879025
NO2(GT),1,RNN,LSTM,0.2916654324894752,42.14953979378557,31.56373957240576,21.808609841506872
NO2(GT),6,Tree,GBDT,0.4473798119586103,37.136331914960685,29.19322601371428,24.44185323484788
NO2(GT),6,Linear/Kernel,Lasso,0.4088877038807844,38.40790584732828,29.994300915035687,25.817741839262613
NO2(GT),6,RNN,LSTM,-0.7412151586507105,66.11086078072977,52.55178362792199,36.490235918202366
NO2(GT),12,Tree,ExtraTrees,0.456904954055213,36.82593679178903,28.009606263982104,23.027962990349614
NO2(GT),12,Linear/Kernel,LinearSVR,0.3808702239815859,39.31938608900888,30.193805455000746,24.166818232636786
NO2(GT),12,RNN,GRU,-0.2589757798372021,56.20987335431561,43.12818835570627,30.037678189865385
NO2(GT),24,Tree,GBDT,0.4272712793382133,37.90077583357944,28.957629320555675,23.514774792435137
NO2(GT),24,Linear/Kernel,ElasticNet,0.3860196539908362,39.24197471654377,30.074358386354834,23.63589943569698
NO2(GT),24,RNN,LSTM,-0.25910749061632,56.33544121416726,43.515499277981846,29.217556167095683
NOx(GT),1,Tree,RandomForest,0.801864534130353,86.88102242463093,63.3966948649451,26.11762548456596
NOx(GT),1,Linear/Kernel,Ridge,0.7824844719265063,91.03092292524352,65.27002756701184,27.41094572507906
NOx(GT),1,RNN,GRU,-0.4897121777216462,238.67571703989665,167.7785953962744,54.51412971179395
NOx(GT),6,Tree,ExtraTrees,0.4338408055365715,146.98760990390937,107.95752008032127,44.08168663336334
NOx(GT),6,Linear/Kernel,Lasso,0.3529254345012179,157.14067359689133,116.3754397868889,47.88914827588687
NOx(GT),6,RNN,GRU_nn48,0.1755219588583588,178.15055780245214,132.2142201778203,54.28327827159157
NOx(GT),12,Tree,ExtraTrees,0.3880873403511731,152.91945387489994,111.0422427293065,46.01003173945727
NOx(GT),12,Linear/Kernel,Ridge,0.2779563059024934,166.11152256121468,117.98270720608105,43.238475197904606
NOx(GT),12,RNN,GRU_nn48,-0.1820339355371283,213.3668221565318,166.0071141161229,78.36986568667896
NOx(GT),24,Tree,ExtraTrees,0.3483679011604037,157.85497964427933,114.2775472334683,48.149216322075965
NOx(GT),24,Linear/Kernel,Ridge,0.2859943416189858,165.2372196499129,118.18398383162022,43.14532585459726
NOx(GT),24,RNN,GRU_nn48,-0.3475479585243592,227.80647561508653,174.30147666186917,67.86463741631682
