model,pollutant,horizon_h,R2,RMSE,MAE,MAPE(%),family
RandomForest,C6H6(GT),1,0.8125299463621132,2.760254882967742,1.8225783615316111,32.72560427074342,Tree
ExtraTrees,C6H6(GT),1,0.8110082767485374,2.7714345546194545,1.818977960819232,32.56116626709413,Tree
GBDT,C6H6(GT),1,0.7998633177308077,2.851980705401396,1.9527393839131395,40.71872372385427,Tree
Lasso,C6H6(GT),1,0.7501405303464955,3.1866263422775614,2.248034881942526,47.85833784507152,Linear/Kernel
ElasticNet,C6H6(GT),1,0.7431121674538044,3.2311342455265435,2.329300095542679,48.46693457886704,Linear/Kernel
MLP,C6H6(GT),1,0.7330916796289908,3.293550229305754,2.4586710739417144,51.40095329249512,Other
Ridge,C6H6(GT),1,0.7276863881515063,3.326732724203358,2.4730428171850822,52.39408879490072,Linear/Kernel
LinearRegression,C6H6(GT),1,0.7169225419802541,3.3918440692627243,2.5254099224276687,54.86346555106414,Linear/Kernel
LinearSVR,C6H6(GT),1,0.7124216649278519,3.4187025627345635,2.5814785519323493,55.61711831933932,Linear/Kernel
DecisionTree,C6H6(GT),1,0.634231011134692,3.855552985707836,2.4444254698008754,38.33177350213624,Tree
LSTM,C6H6(GT),1,0.5550202396606861,4.269149130354452,3.357182203881439,96.24331966866636,RNN
LSTM_nn48,C6H6(GT),1,0.2214307962897185,5.668743318241403,4.17699869362152,92.73129329878354,RNN
GRU,C6H6(GT),1,0.1960684439028401,5.738266775670319,4.90645053415646,144.91595273816483,RNN
GRU_nn48,C6H6(GT),1,-0.578588002196913,8.071840669350223,6.19666424480391,94.8537638039288,RNN
Naive,C6H6(GT),1,-1.6053120796751514,10.289946376833662,8.061665182546749,233.9500516065092,Other
ExtraTrees,CO(GT),1,0.774824246077747,0.627031312262165,0.4517955253784506,41.45578416596572,Tree
RandomForest,CO(GT),1,0.7597659903118285,0.6476578907838673,0.4722705550608491,44.81424914045896,Tree
MLP,CO(GT),1,0.7583331196773218,0.6495864901349937,0.4804775348353802,38.0143613579323,Other
GBDT,CO(GT),1,0.7568242118762852,0.6516112626248621,0.4930159960556476,45.89556827605621,Tree
Lasso,CO(GT),1,0.740870427881761,0.6726465283809573,0.5080938787808346,45.2702579183501,Linear/Kernel
LinearSVR,CO(GT),1,0.7389334840109243,0.6751557999492582,0.513622639591224,45.90378511129662,Linear/Kernel
Ridge,CO(GT),1,0.7367046654132583,0.6780316986080985,0.5138236403547846,46.423332563541976,Linear/Kernel
LinearRegression,CO(GT),1,0.7362131394869165,0.6786642862784034,0.5112888865478321,45.69021943429373,Linear/Kernel
ElasticNet,CO(GT),1,0.7325855007378315,0.683314901334624,0.519282712140639,47.19950847536989,Linear/Kernel
LSTM,CO(GT),1,0.57787862294238,0.8611990491725493,0.6405546610493731,60.67463532075406,RNN
GRU,CO(GT),1,0.5265118152587547,0.9120936699150962,0.7074834461100616,71.08975682284857,RNN
DecisionTree,CO(GT),1,0.4719494971513419,0.9602098271420428,0.6451785162360465,56.265215882757005,Tree
GRU_nn48,CO(GT),1,0.278427026940697,1.1299925016730938,0.867664672983552,63.07245993824271,RNN
LSTM_nn48,CO(GT),1,-0.0245308762520042,1.346473958085734,0.9149861781196792,48.168425954564846,RNN
Naive,CO(GT),1,-1.0765856546820878,1.904159574866002,1.4615316117542296,126.6573044059484,Other
GBDT,NO2(GT),1,0.7868054097643261,23.048228531925027,17.001674082210123,14.248783365115408,Tree
Lasso,NO2(GT),1,0.7745523195112952,23.70130980188086,17.821535473854972,15.340750556879025,Linear/Kernel
Ridge,NO2(GT),1,0.7745045180070546,23.70382235426073,17.822352798900383,15.34975825897797,Linear/Kernel
LinearSVR,NO2(GT),1,0.7744252821235287,23.70798658036185,17.83659625266184,15.335113672064834,Linear/Kernel
ElasticNet,NO2(GT),1,0.7731127814798537,23.77685869543333,17.8032126795817,15.352603240637489,Linear/Kernel
RandomForest,NO2(GT),1,0.7709649156094874,23.88913740345332,17.374087266251113,13.690374890475276,Tree
ExtraTrees,NO2(GT),1,0.7618744526609328,24.35860746766535,17.90775601068566,14.074083430056774,Tree
MLP,NO2(GT),1,0.7518873680378692,24.86416614693294,18.71917050857712,16.121966780824724,Other
LinearRegression,NO2(GT),1,0.7501028105847762,24.95342406261961,18.80105798692956,15.61037948720882,Linear/Kernel
DecisionTree,NO2(GT),1,0.5077588493611774,35.02179648191923,25.526945589501832,19.539271364703826,Tree
LSTM,NO2(GT),1,0.2916654324894752,42.14953979378557,31.56373957240576,21.808609841506872,RNN
GRU,NO2(GT),1,-0.0835035275193871,52.13012709851592,40.12536905608733,26.81104803511406,RNN
Naive,NO2(GT),1,-1.2902339299962824,75.54215738445268,59.78762243989314,43.57457140642378,Other
LSTM_nn48,NO2(GT),1,-1.382807287202012,77.51332222038106,61.70666752942669,42.80990652811904,RNN
GRU_nn48,NO2(GT),1,-7.126020410897096,143.14324087884222,129.13797794655812,90.96490698923952,RNN
RandomForest,NOx(GT),1,0.801864534130353,86.88102242463093,63.3966948649451,26.11762548456596,Tree
ExtraTrees,NOx(GT),1,0.7988408618432579,87.54144198382,62.30615650044524,24.485576313907192,Tree
GBDT,NOx(GT),1,0.796068905356673,88.14253527334442,63.87682614699519,27.46340926323056,Tree
Ridge,NOx(GT),1,0.7824844719265063,91.03092292524352,65.27002756701184,27.41094572507906,Linear/Kernel
LinearSVR,NOx(GT),1,0.7824409351750701,91.04003260216302,65.26212145288225,27.38234333396992,Linear/Kernel
Lasso,NOx(GT),1,0.7824342174407385,91.04143814697925,65.25939457051051,27.392033658441022,Linear/Kernel
ElasticNet,NOx(GT),1,0.7810740375784986,91.32558160769533,65.01051975700419,27.412231478018427,Linear/Kernel
LinearRegression,NOx(GT),1,0.7600337693467567,95.61342550627326,67.31685709832765,27.00681975388492,Linear/Kernel
MLP,NOx(GT),1,0.7474769013045754,98.08314160341035,70.37598574987692,25.428397422753367,Other
DecisionTree,NOx(GT),1,0.4691706359179181,142.20710075737955,95.84391194103544,35.107601380301425,Tree
GRU,NOx(GT),1,-0.4897121777216462,238.67571703989665,167.7785953962744,54.51412971179395,RNN
LSTM,NOx(GT),1,-0.4955886092532615,239.1460028740177,168.16592553430883,54.47733424185019,RNN
GRU_nn48,NOx(GT),1,-0.5295875699555208,242.46900703960853,176.30321443409554,65.59743632841099,RNN
LSTM_nn48,NOx(GT),1,-0.8134358797204171,264.0098699636262,193.9474693882657,61.46095082641083,RNN
Naive,NOx(GT),1,-0.9990131280745462,275.963494688541,201.080142475512,63.88216789705478,Other
