pollutant,horizon_h,model,family,R2,RMSE,MAE,MAPE(%)
C6H6(GT),1,RandomForest,Tree,0.8125299463621132,2.760254882967742,1.8225783615316111,32.72560427074342
C6H6(GT),6,GBDT,Tree,0.4243903969474721,4.841519981132055,3.796392761780288,94.74300370822372
C6H6(GT),12,ElasticNet,Linear/Kernel,0.3662468663346744,5.084166028843402,3.873296562338968,102.81794380418393
C6H6(GT),24,ElasticNet,Linear/Kernel,0.3655343119759358,5.097711662277961,3.8317839877189854,97.65009466324956
CO(GT),1,ExtraTrees,Tree,0.774824246077747,0.627031312262165,0.4517955253784506,41.45578416596572
CO(GT),6,ExtraTrees,Tree,0.3200274315821454,1.09065580708341,0.828498661311914,81.37876229884971
CO(GT),12,LinearRegression,Linear/Kernel,0.3058310744633639,1.1029671378640025,0.8285065567439271,77.48027646728289
CO(GT),24,LinearRegression,Linear/Kernel,0.3321292935197205,1.0832559076194317,0.8099634500834761,76.29272198193972
NO2(GT),1,GBDT,Tree,0.7868054097643261,23.048228531925027,17.001674082210123,14.248783365115408
NO2(GT),6,GBDT,Tree,0.4473798119586103,37.136331914960685,29.19322601371428,24.44185323484788
NO2(GT),12,ExtraTrees,Tree,0.456904954055213,36.82593679178903,28.009606263982104,23.027962990349614
NO2(GT),24,GBDT,Tree,0.4272712793382133,37.90077583357944,28.957629320555675,23.514774792435137
NOx(GT),1,RandomForest,Tree,0.801864534130353,86.88102242463093,63.3966948649451,26.11762548456596
NOx(GT),6,ExtraTrees,Tree,0.4338408055365715,146.98760990390937,107.95752008032127,44.08168663336334
NOx(GT),12,ExtraTrees,Tree,0.3880873403511731,152.91945387489994,111.0422427293065,46.01003173945727
NOx(GT),24,ExtraTrees,Tree,0.3483679011604037,157.85497964427933,114.2775472334683,48.149216322075965
