model,pollutant,horizon_h,RMSE,MAE,MAPE(%),R2,n_test,fit_time_s,best_params,n_train,params
Naive,C6H6(GT),1,10.289946376833662,8.061665182546749,233.95005160650916,-1.6053120796751514,2246.0,,,,
Naive,C6H6(GT),6,10.190392137854586,8.028246318607765,260.89634391699707,-1.5500363231307905,2241.0,,,,
Naive,C6H6(GT),12,10.536305615247553,8.240536912751677,249.75864784295263,-1.7218073927615536,2235.0,,,,
Naive,C6H6(GT),24,10.278518580978641,7.965811965811966,229.5791671059671,-1.5793997691674853,2223.0,,,,
Naive,CO(GT),1,1.904159574866002,1.4615316117542296,126.6573044059484,-1.0765856546820878,2246.0,,,,
Naive,CO(GT),6,1.8644433594525933,1.4306559571619812,124.95482606431192,-0.9870754108364297,2241.0,,,,
Naive,CO(GT),12,1.9401273050322094,1.5045637583892617,127.4440411958363,-1.1478328386895118,2235.0,,,,
Naive,CO(GT),24,1.8861965146685586,1.4362123256860098,122.98389909776313,-1.0249026044384069,2223.0,,,,
Naive,NO2(GT),1,75.54215738445268,59.78762243989314,43.57457140642378,-1.2902339299962824,2246.0,,,,
Naive,NO2(GT),6,75.82577378211451,61.03748326639893,45.756283281863304,-1.3038937072628647,2241.0,,,,
Naive,NO2(GT),12,74.91056561769716,59.795973154362414,44.065644871493376,-1.2472655123132759,2235.0,,,,
Naive,NO2(GT),24,74.46532763805524,58.72064777327935,42.62060741435735,-1.2108586209301717,2223.0,,,,
Naive,NOx(GT),1,275.963494688541,201.08014247551202,63.88216789705478,-0.9990131280745462,2246.0,,,,
Naive,NOx(GT),6,270.6284750918992,199.52074966532797,65.92121125293832,-0.9192170330482812,2241.0,,,,
Naive,NOx(GT),12,277.47061919961124,206.86532438478747,69.382443771257,-1.0146423925746162,2235.0,,,,
Naive,NOx(GT),24,273.81902965033396,199.60953666216824,62.99074071579407,-0.9607090354734007,2223.0,,,,
ElasticNet,C6H6(GT),1,3.2311342455265435,2.329300095542679,48.46693457886704,0.7431121674538044,,3.335216999053955,"{'alpha': 0.1, 'l1_ratio': 0.3, 'max_iter': 2000}",,
Lasso,C6H6(GT),1,3.1866263422775614,2.248034881942526,47.858337845071524,0.7501405303464955,,2.5946664810180664,"{'alpha': 0.1, 'max_iter': 2000}",,
LinearRegression,C6H6(GT),1,3.3918440692627243,2.5254099224276687,54.86346555106414,0.7169225419802541,,0.013171195983886719,{},,
Ridge,C6H6(GT),1,3.326732724203358,2.4730428171850822,52.39408879490072,0.7276863881515063,,0.1547093391418457,{'alpha': 100.0},,
ElasticNet,C6H6(GT),6,5.186343216658239,4.061927519296714,106.26602978996111,0.33947831354311264,,3.0655930042266846,"{'alpha': 0.1, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,C6H6(GT),6,5.160010776984226,4.024147802986315,104.30653940406043,0.3461685736846103,,2.390666961669922,"{'alpha': 0.1, 'max_iter': 2000}",,
LinearRegression,C6H6(GT),6,5.4824043690506805,4.320287238682944,110.53610454736015,0.26191444901898475,,0.012671947479248047,{},,
Ridge,C6H6(GT),6,5.5215325956123955,4.446401728903976,123.47440712669622,0.25134133703342076,,0.1653904914855957,{'alpha': 10.0},,
ElasticNet,C6H6(GT),12,5.084166028843402,3.873296562338968,102.81794380418393,0.3662468663346744,,1.7649199962615967,"{'alpha': 1.0, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,C6H6(GT),12,5.092224353127803,3.8865339598600004,103.3617099334573,0.3642362964646412,,1.3424208164215088,"{'alpha': 1.0, 'max_iter': 2000}",,
LinearRegression,C6H6(GT),12,5.661876413798832,4.385290373301944,133.75380789229638,0.21403819430917748,,0.013230323791503906,{},,
Ridge,C6H6(GT),12,5.571177693399251,4.4211128347427655,131.03202939404085,0.23901746081799546,,0.1671586036682129,{'alpha': 100.0},,
ElasticNet,C6H6(GT),24,5.097711662277961,3.8317839877189863,97.65009466324956,0.3655343119759358,,2.302595615386963,"{'alpha': 1.0, 'l1_ratio': 0.5, 'max_iter': 2000}",,
Lasso,C6H6(GT),24,5.105399174652745,3.8215371848550572,97.21946772540709,0.36361927996295573,,1.3560936450958252,"{'alpha': 1.0, 'max_iter': 2000}",,
LinearRegression,C6H6(GT),24,5.394628545445412,4.164462255694742,107.5844885916738,0.2894728159986908,,0.012524127960205078,{},,
Ridge,C6H6(GT),24,6.1566396634417675,5.083061376804909,148.6201702649877,0.07456679573951597,,0.1546471118927002,{'alpha': 100.0},,
ElasticNet,CO(GT),1,0.683314901334624,0.519282712140639,47.19950847536989,0.7325855007378315,,4.957907438278198,"{'alpha': 0.01, 'l1_ratio': 0.3, 'max_iter': 2000}",,
Lasso,CO(GT),1,0.6726465283809573,0.5080938787808346,45.270257918350104,0.740870427881761,,4.374631881713867,"{'alpha': 0.001, 'max_iter': 2000}",,
LinearRegression,CO(GT),1,0.6786642862784034,0.5112888865478321,45.690219434293724,0.7362131394869165,,0.06389951705932617,{},,
Ridge,CO(GT),1,0.6780316986080985,0.5138236403547846,46.423332563541976,0.7367046654132583,,3.608121156692505,{'alpha': 100.0},,
ElasticNet,CO(GT),6,1.2042438441279961,0.984972492406673,100.73200019423933,0.17101851573466276,,4.954842805862427,"{'alpha': 0.01, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,CO(GT),6,1.229566242690437,1.0109610529697373,104.18215468540272,0.13578893397557568,,4.550354480743408,"{'alpha': 0.01, 'max_iter': 2000}",,
LinearRegression,CO(GT),6,1.1242228195433543,0.8649268727441036,80.01824128779026,0.27752844417177336,,0.01188802719116211,{},,
Ridge,CO(GT),6,1.1480245315077406,0.9266074787802268,93.65965853782761,0.24661269595732205,,1.9750351905822754,{'alpha': 100.0},,
ElasticNet,CO(GT),12,1.1713704026722473,0.9234807374959144,95.11671005370742,0.21705993942665935,,1.4082326889038086,"{'alpha': 1.0, 'l1_ratio': 0.7, 'max_iter': 2000}",,
Lasso,CO(GT),12,1.190865205418849,0.9461572380560911,98.2465884194933,0.19078255834910096,,1.1627376079559326,"{'alpha': 1.0, 'max_iter': 2000}",,
LinearRegression,CO(GT),12,1.1029671378640025,0.8285065567439271,77.48027646728289,0.3058310744633639,,0.011648893356323242,{},,
Ridge,CO(GT),12,1.1420795124590446,0.9153883286301642,94.99271263782609,0.2557262464493666,,0.15490198135375977,{'alpha': 0.1},,
ElasticNet,CO(GT),24,1.1620932138687825,0.8996512956064242,91.89382655279697,0.23137909347618102,,1.0538654327392578,"{'alpha': 1.0, 'l1_ratio': 0.5, 'max_iter': 2000}",,
