model,pollutant,horizon_h,RMSE,MAE,MAPE(%),R2,fit_time_s,n_train_seq,n_val_seq,n_test_seq,seq_len,params
LSTM,CO(GT),1,0.8611990491725493,0.6405546610493731,60.67463532075406,0.57787862294238,29.860097646713257,5641,1399,2223,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,CO(GT),1,0.9120936699150962,0.7074834461100616,71.08975682284857,0.5265118152587547,25.399006366729736,5641,1399,2223,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,CO(GT),6,1.2811951165589173,0.9690368561190027,89.83018737772319,0.06740318551574775,28.61602258682251,5641,1399,2218,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,CO(GT),6,1.246846176232474,1.0065032718953408,103.98648330662958,0.11673883902599136,12.930134296417236,5641,1399,2218,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,CO(GT),12,1.107239867773987,0.8625274588358984,87.73249715137436,0.30453822480564796,32.98772096633911,5641,1399,2212,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,CO(GT),12,1.157900426726798,0.9265252083054935,96.0597058068639,0.23944213259945435,46.299601554870605,5641,1399,2212,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,CO(GT),24,1.1505063283101924,0.9116396416859194,94.95476826885606,0.25186623417857745,31.444465398788452,5641,1399,2200,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,CO(GT),24,1.1434427006798,0.8796874496936797,87.55402022546582,0.2610244904738046,18.01131319999695,5641,1399,2200,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,C6H6(GT),1,4.269149130354452,3.357182203881439,96.24331966866636,0.5550202396606861,40.86800503730774,5641,1399,2223,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,C6H6(GT),1,5.738266775670319,4.90645053415646,144.91595273816483,0.19606844390284017,16.222689390182495,5641,1399,2223,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,C6H6(GT),6,6.3657683211467475,5.453809451970891,185.12485945909094,0.011906536069906215,51.007441997528076,5641,1399,2218,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,C6H6(GT),6,6.794510982798217,5.802313544064411,212.67672610097378,-0.12567437323574637,12.79634165763855,5641,1399,2218,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,C6H6(GT),12,6.9503613846566905,5.989352789321817,185.42267937668814,-0.1767200093015433,27.746050596237183,5641,1399,2212,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,C6H6(GT),12,6.566301729899319,5.625636541347608,183.64690878716726,-0.050267764751848576,22.22394895553589,5641,1399,2212,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,C6H6(GT),24,6.21214868102334,5.238837678432464,164.27102252030906,0.06458419988103947,20.127466678619385,5641,1399,2200,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,C6H6(GT),24,5.995336533617619,4.987055145523764,159.94689130964744,0.12873924815088,21.628123998641968,5641,1399,2200,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,NOx(GT),1,239.1460028740177,168.16592553430885,54.47733424185019,-0.49558860925326154,36.59155464172363,5641,1399,2223,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,NOx(GT),1,238.67571703989663,167.7785953962744,54.51412971179395,-0.4897121777216462,30.2950541973114,5641,1399,2223,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,NOx(GT),6,239.04248935117306,168.18840777411774,54.602237602748374,-0.4923940652895433,36.59488558769226,5641,1399,2218,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,NOx(GT),6,239.77937375011254,168.79786229456084,54.551225880981015,-0.5016093051056416,23.464402437210083,5641,1399,2218,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,NOx(GT),12,243.53031695453672,172.03066352995998,54.45364788738453,-0.5468924162329674,34.566046953201294,5641,1399,2212,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,NOx(GT),12,243.48366193947453,171.9905027627514,54.455147475656126,-0.5462997723538243,31.63299822807312,5641,1399,2212,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,NOx(GT),24,241.84092665368462,170.2558556435325,54.49149313361804,-0.521831451309684,26.299416542053223,5641,1399,2200,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,NOx(GT),24,241.92431347391698,170.32587834444914,54.48799358084633,-0.5228810880697372,24.29746961593628,5641,1399,2200,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,NO2(GT),1,42.14953979378557,31.563739572405762,21.808609841506872,0.2916654324894752,52.6525993347168,5641,1399,2223,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,NO2(GT),1,52.13012709851592,40.12536905608733,26.81104803511406,-0.08350352751938717,35.06210160255432,5641,1399,2223,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,NO2(GT),6,66.11086078072977,52.551783627921985,36.490235918202366,-0.7412151586507105,24.37798261642456,5641,1399,2218,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,NO2(GT),6,66.12335866841269,52.563724707009236,36.495397063604386,-0.7418735548105395,15.163741827011108,5641,1399,2218,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,NO2(GT),12,66.76390962363773,53.196164029416295,36.773902425793075,-0.7761338154865292,34.81367564201355,5641,1399,2212,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,NO2(GT),12,56.20987335431561,43.12818835570627,30.037678189865385,-0.2589757798372021,46.23163437843323,5641,1399,2212,24,"LR=0.001,BATCH=128,EPOCHS=60"
LSTM,NO2(GT),24,56.33544121416726,43.515499277981846,29.217556167095683,-0.25910749061632,53.63590478897095,5641,1399,2200,24,"LR=0.001,BATCH=128,EPOCHS=60"
GRU,NO2(GT),24,58.990871688369296,45.70229945096103,31.066253084787395,-0.38060370604177995,45.65795588493347,5641,1399,2200,24,"LR=0.001,BATCH=128,EPOCHS=60"
