model,pollutant,horizon_h,RMSE,MAE,MAPE(%),R2,fit_time_s,n_train,n_test,params
MLP,CO(GT),1,0.6495864901349937,0.4804775348353802,38.0143613579323,0.7583331196773218,1.415125846862793,7086,2246,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,CO(GT),1,0.6751557999492582,0.513622639591224,45.90378511129662,0.7389334840109243,0.4343912601470947,7086,2246,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,CO(GT),6,1.1789067957443526,0.9164360538778901,80.28302424804585,0.20553475544469535,2.0888288021087646,7086,2241,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,CO(GT),6,1.1287430417103175,0.9114045770826793,91.49191517829179,0.2717070051556554,0.5183510780334473,7086,2241,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,CO(GT),12,1.4344656434989065,1.1482974032919058,109.04538464984338,-0.17414119163659625,2.6142425537109375,7086,2235,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,CO(GT),12,1.1415267062597854,0.9148965692976102,94.91288084034754,0.25644658083063276,0.49497199058532715,7086,2235,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,CO(GT),24,1.995036803715883,1.6382431301691043,160.73911785313558,-1.2653331823388925,2.6845476627349854,7086,2223,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,CO(GT),24,1.215475723166076,0.9799685641940715,105.99522780113698,0.1591416503831936,0.5176301002502441,7086,2223,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,C6H6(GT),1,3.293550229305754,2.4586710739417144,51.400953292495124,0.7330916796289908,2.0556302070617676,7086,2246,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,C6H6(GT),1,3.4187025627345635,2.5814785519323493,55.61711831933932,0.7124216649278519,0.3754723072052002,7086,2246,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,C6H6(GT),6,10.68754672850239,8.521400670238293,234.2190556313358,-1.804920954141,5.664939641952515,7086,2241,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,C6H6(GT),6,5.596865054003349,4.5097990126441605,125.86943923793893,0.23077348607499026,0.4789927005767822,7086,2241,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,C6H6(GT),12,9.119939406099423,6.97600725408481,182.62608484759645,-1.0392223224641643,4.801632404327393,7086,2235,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,C6H6(GT),12,5.802481154115531,4.674511935212152,141.61225396601057,0.1745169730398176,0.4520866870880127,7086,2235,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,C6H6(GT),24,14.695427943467084,12.394106685502141,303.0276681166844,-4.27256668554689,3.064974784851074,7086,2223,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
LinearSVR,C6H6(GT),24,6.331107693568419,5.28048387663041,154.14645949672644,0.021373418141881317,0.8028590679168701,7086,2223,"{'epsilon': 0.0, 'C': 1.0, 'loss': 'squared_epsilon_insensitive', 'max_iter': 5000, 'random_state': 42}"
MLP,NOx(GT),1,98.08314160341037,70.37598574987692,25.428397422753367,0.7474769013045754,5.124329328536987,7086,2246,"{'hidden_layer_sizes': (128, 64), 'activation': 'relu', 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 256, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 20, 'random_state': 42, 'verbose': False}"
