pollutant,horizon_h,model,R2,RMSE,MAE,MAPE(%),fit_time_s,best_params,n_train,n_test
CO(GT),6,RandomForest_TUNED,0.317071410422051,1.093023921248323,0.8463037096846221,83.62287676377225,114.5693871974945,"{'max_depth': None, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",7086,2241
CO(GT),6,GBDT_TUNED,0.30670307409566033,1.1012899017563664,0.850908465202065,83.9180048027749,311.19032859802246,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",7086,2241
CO(GT),12,RandomForest_TUNED,0.2899821052353969,1.1154873152838418,0.8740102796197502,86.22382584799774,124.01527333259583,"{'max_depth': 12, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 600, 'n_jobs': -1, 'random_state': 42}",7086,2235
CO(GT),12,GBDT_TUNED,0.2157113994475074,1.1723787558579726,0.9095967588483432,93.62139637962919,316.9135775566101,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",7086,2235
C6H6(GT),6,RandomForest_TUNED,0.3524577896837441,5.135133691900226,4.073242409980777,105.3315993350544,116.85583519935608,"{'max_depth': 20, 'max_features': 0.6, 'min_samples_leaf': 2, 'n_estimators': 600, 'n_jobs': -1, 'random_state': 42}",7086,2241
C6H6(GT),6,GBDT_TUNED,0.3990162208402218,4.9470817640310765,3.9169473902744287,100.5109896166419,304.73279190063477,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",7086,2241
C6H6(GT),12,RandomForest_TUNED,0.3532768994606096,5.135927110391431,4.047192067452022,104.37917931839264,115.3149802684784,"{'max_depth': 12, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",7086,2235
C6H6(GT),12,GBDT_TUNED,0.28846286664757714,5.3871423245874315,4.251009755848128,120.26565909884756,298.6744158267975,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",7086,2235
NOx(GT),6,RandomForest_TUNED,0.4163375178259676,149.24243787953753,112.42322400173867,49.63509387029577,114.72711896896362,"{'max_depth': None, 'max_features': 0.6, 'min_samples_leaf': 2, 'n_estimators': 600, 'n_jobs': -1, 'random_state': 42}",7086,2241
NOx(GT),6,GBDT_TUNED,0.3407439842085622,158.6128966672391,125.29125733136142,59.17107709254093,336.949595451355,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 600, 'random_state': 42, 'subsample': 0.8}",7086,2241
NOx(GT),12,RandomForest_TUNED,0.2927424208420235,164.40189693546156,121.54599701715138,52.70837059835909,112.80932521820068,"{'max_depth': None, 'max_features': 0.6, 'min_samples_leaf': 1, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",7086,2235
NOx(GT),12,GBDT_TUNED,0.3288079702275023,160.15533661211077,116.60832808882415,46.298639463769064,295.60184144973755,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",7086,2235
NO2(GT),6,RandomForest_TUNED,0.33389378327388164,40.77156434867128,31.612949941163503,25.744378054573495,108.99649786949158,"{'max_depth': 12, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 600, 'n_jobs': -1, 'random_state': 42}",7086,2241
NO2(GT),6,GBDT_TUNED,0.43279155066662567,37.623307957408024,29.516174744985815,24.85253678410785,301.0854139328003,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",7086,2241
NO2(GT),12,RandomForest_TUNED,0.43229171308462244,37.65117202175473,28.81024267390554,24.43255664560808,109.67230105400085,"{'max_depth': None, 'max_features': 0.6, 'min_samples_leaf': 5, 'n_estimators': 300, 'n_jobs': -1, 'random_state': 42}",7086,2235
NO2(GT),12,GBDT_TUNED,0.4244738204665589,37.90953213723593,29.32174228124456,24.720864586765856,313.37808299064636,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",7086,2235
