model,pollutant,horizon,Accuracy,Precision,Recall,F1,ROC_AUC,horizon_int
Persistence Baseline,CO(GT),1h,0.7292965271593945,0.7251119724176903,0.7251119724176903,0.7251119724176903,,1
Persistence Baseline,CO(GT),6h,0.3815261044176707,0.3744762159634958,0.37450362788613956,0.374489820853823,,6
Persistence Baseline,CO(GT),12h,0.37360178970917224,0.37083543273443303,0.3707548213146534,0.37079465099199654,,12
Persistence Baseline,CO(GT),24h,0.5668016194331984,0.5620378334609857,0.5618248392637626,0.5619261595794618,,24
Logistic Regression,CO(GT),1h,0.7266251113089938,0.7184747939034892,0.7252371491040194,0.7196573713459286,0.8763047718165474,1
Ridge Classifier,CO(GT),1h,0.6843276936776491,0.6724380999015597,0.6852415042004131,0.6752667996584525,,1
Logistic Regression,CO(GT),6h,0.5493083444890674,0.5137674901835841,0.5421524129234038,0.4999589407950671,0.7258793493150056,6
Ridge Classifier,CO(GT),6h,0.5435073627844712,0.5173363375450662,0.5416775729923518,0.5107480923198177,,6
Logistic Regression,CO(GT),12h,0.5185682326621924,0.48044086535144476,0.5095923753494899,0.45838707035707627,0.7004751873033733,12
Ridge Classifier,CO(GT),12h,0.5346756152125279,0.5142625648340913,0.5329766061605768,0.5170717854473171,,12
Logistic Regression,CO(GT),24h,0.5263157894736842,0.506709075014578,0.5211128492292002,0.44311342330604103,0.7163679002365613,24
Ridge Classifier,CO(GT),24h,0.5272154745838956,0.4957075355445601,0.5267037821706128,0.4846217240105101,,24
Random Forest,CO(GT),1h,0.7292965271593945,0.7170462720073326,0.7212629930845336,0.7084305973457571,0.882444309879201,1
Random Forest,CO(GT),6h,0.5421686746987951,0.5105958562593146,0.5349699438010961,0.5078673921308399,0.7244816179448561,6
Random Forest,CO(GT),12h,0.537807606263982,0.5331935226899529,0.5442602404262251,0.5169164793687906,0.7383775476780249,12
Random Forest,CO(GT),24h,0.5186684660368871,0.5152092089304954,0.5245839879938096,0.4746363017822022,0.7237177970882405,24
XGBoost,CO(GT),1h,0.7243989314336599,0.7428418944967632,0.7305298236127391,0.7293630990674703,0.8921740489329052,1
XGBoost,CO(GT),6h,0.5818830879071842,0.5969122224377527,0.5917554245525917,0.5801386352922543,0.7628513900235566,6
XGBoost,CO(GT),12h,0.5351230425055928,0.5497732736907084,0.5442678213513193,0.5332516325112461,0.7345646504550615,12
XGBoost,CO(GT),24h,0.5105713000449843,0.526718927905519,0.52436696029726,0.5055511675546595,0.7303151961257616,24
MLP,CO(GT),1h,0.5765805877114871,0.6485870761259817,0.5956927154680036,0.5864615062601454,0.7921316710737969,1
MLP,CO(GT),6h,0.5283355644801427,0.5313044299032685,0.5368710721463338,0.5221631922955078,0.7123248995041447,6
MLP,CO(GT),12h,0.4389261744966443,0.444989721791806,0.4471838281500771,0.43189166514305183,0.6278316904280494,12
MLP,CO(GT),24h,0.47953216374269003,0.5088782698748946,0.4926526679090497,0.47693442614988735,0.6759665193867685,24
