model,pollutant,horizon,RMSE,MAE,MAPE,R2,train_time
Naive Baseline,CO(GT),1h,0.789574769738759,0.5215494211932324,35.82446086072682,0.642949461491361,
Naive Baseline,CO(GT),6h,1.7423434853845627,1.3253904506916554,98.86641748877153,-0.7353357437343464,
Naive Baseline,CO(GT),12h,1.7371619221086332,1.3297986577181207,107.91442645553555,-0.7219503490309875,
Naive Baseline,CO(GT),24h,1.2442634901533016,0.8774179037336932,67.47664260208617,0.11883958470405254,
Naive Baseline,C6H6(GT),1h,3.6061174154333027,2.166473731077471,29.969614571820724,0.6800270564695473,
Naive Baseline,C6H6(GT),6h,8.107484656293241,5.826595269968765,121.87556120460552,-0.6141238125847479,
Naive Baseline,C6H6(GT),12h,8.344589534341656,6.207561521252797,148.26780081840738,-0.7072244761537849,
Naive Baseline,C6H6(GT),24h,5.84993281159151,3.9180836707152493,69.17923642344557,0.1644751671541591,
Naive Baseline,NOx(GT),1h,105.04743235993,70.99777382012466,28.78126107316117,0.7103435142601486,
Naive Baseline,NOx(GT),6h,256.97202059048044,199.3913431503793,87.34743884412873,-0.7304090879894971,
Naive Baseline,NOx(GT),12h,246.03923497160747,195.35346756152126,92.31333436350323,-0.5840639028291423,
Naive Baseline,NOx(GT),24h,179.77581505784391,125.07647323436797,50.30907296825586,0.15482152320937714,
Naive Baseline,NO2(GT),1h,26.642808970020425,19.485752448797864,16.32431329535597,0.7151205651123707,
Naive Baseline,NO2(GT),6h,66.85138398923553,54.16064257028113,46.43408881653847,-0.7908101290339533,
Naive Baseline,NO2(GT),12h,67.05071371947378,55.18791946308725,49.02060849399086,-0.8004250404973914,
Naive Baseline,NO2(GT),24h,42.92706888857918,31.614035087719298,25.567656932491516,0.26529121514005893,
Linear Regression,CO(GT),1h,0.678664286278353,0.5112888865477612,45.69021943428267,0.7362131394869557,0.10692596435546875
Linear Regression,CO(GT),6h,1.1242228195433321,0.864926872744083,80.01824128778016,0.2775284441718021,0.2466719150543213
Linear Regression,CO(GT),12h,1.1029671378640438,0.8285065567439334,77.48027646728055,0.3058310744633117,0.2793090343475342
Linear Regression,CO(GT),24h,1.0832559076194608,0.8099634500834608,76.29272198193266,0.33212929351968434,0.30912089347839355
Ridge,CO(GT),1h,0.6780316986080988,0.5138236403547779,46.42333256354171,0.7367046654132581,2.602008819580078
Ridge,CO(GT),6h,1.1480245315077167,0.9266074787801934,93.65965853782282,0.24661269595735358,1.578758955001831
Ridge,CO(GT),12h,1.1420795124590173,0.9153883286302175,94.99271263783506,0.25572624644940245,0.22154498100280762
Ridge,CO(GT),24h,1.216029913108758,0.9805275638070775,106.08054259107575,0.1583747054483533,2.7391512393951416
Lasso,CO(GT),1h,0.6726465283809577,0.5080938787808351,45.27025791835017,0.7408704278817606,7.036022901535034
Lasso,CO(GT),6h,1.2295662426904375,1.010961052969738,104.18215468540282,0.135788933975575,8.332397937774658
Lasso,CO(GT),12h,1.190865205418849,0.9461572380560911,98.2465884194933,0.19078255834910085,2.1457738876342773
Lasso,CO(GT),24h,1.1828973603210635,0.9377232630686497,99.58243862793232,0.2036125853693449,6.801316022872925
ElasticNet,CO(GT),1h,0.6833149013346239,0.519282712140639,47.19950847536991,0.7325855007378316,12.057277917861938
ElasticNet,CO(GT),6h,1.2042438441279952,0.9849724924066722,100.73200019423926,0.17101851573466376,10.918905019760132
ElasticNet,CO(GT),12h,1.1713704026722473,0.9234807374959144,95.11671005370742,0.21705993942665935,4.696617841720581
ElasticNet,CO(GT),24h,1.1620932138687827,0.8996512956064243,91.89382655279698,0.2313790934761809,2.6270556449890137
Linear Regression,C6H6(GT),1h,3.3918440692626444,2.5254099224275,54.86346555106035,0.7169225419802675,0.28696298599243164
Linear Regression,C6H6(GT),6h,5.482404369050504,4.320287238682768,110.53610454733224,0.26191444901903227,0.6583209037780762
Linear Regression,C6H6(GT),12h,5.661876413798837,4.3852903733019835,133.75380789230783,0.21403819430917603,0.2548067569732666
Linear Regression,C6H6(GT),24h,5.394628545445247,4.164462255694511,107.58448859166185,0.2894728159987344,0.280595064163208
Ridge,C6H6(GT),1h,3.3267327242033,2.4730428171849934,52.39408879489723,0.7276863881515159,0.21393513679504395
Ridge,C6H6(GT),6h,5.521532595612175,4.446401728903683,123.474407126689,0.2513413370334807,0.2558438777923584
Ridge,C6H6(GT),12h,5.571177693399071,4.421112834742621,131.03202939403923,0.23901746081804476,0.21268129348754883
Ridge,C6H6(GT),24h,6.156639663441796,5.08306137680494,148.62017026498663,0.07456679573950731,0.25376105308532715
Lasso,C6H6(GT),1h,3.1866263422775614,2.2480348819425253,47.8583378450715,0.7501405303464956,8.616365909576416
Lasso,C6H6(GT),6h,5.160010776984225,4.024147802986314,104.3065394040604,0.3461685736846104,8.298307180404663
Lasso,C6H6(GT),12h,5.092224353127802,3.886533959859999,103.36170993345726,0.3642362964646414,2.4250009059906006
